region,date,value
КОСТАНАЙСКАЯ ОБЛАСТЬ,2020-12-31,3314500
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,838600
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,2868100
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,333100
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,249500
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,589800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,2699600
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,195500
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,296700
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,2225400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,659800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,3170400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,2865900
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,1324200
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,1339400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,1006200
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,1730400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,3179800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,3628400
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,4295800
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,4501200
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2021-12-31,5323600
ЗАПАДНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,4151200
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,187600
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,791300
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,161700
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,88300
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,891100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,145800
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,583000
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,117100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,142700
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,114100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,868900
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,705100
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,384800
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,310400
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,265200
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,474600
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,975300
ЮЖНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,1097700
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2006-12-31,621300
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2011-12-31,2036700
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2013-12-31,2341300
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2015-12-31,2293100
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2000-12-31,214400
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2003-12-31,359700
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2005-12-31,516600
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2004-12-31,449000
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2001-12-31,266200
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2002-12-31,286900
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2014-12-31,2315800
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2012-12-31,2032800
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2009-12-31,1150800
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2008-12-31,1153600
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2007-12-31,793900
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2010-12-31,1384600
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2016-12-31,2606900
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2017-12-31,3134300
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2018-12-31,3641200
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2019-12-31,4023300
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2021-12-31,5185000
ПАВЛОДАРСКАЯ ОБЛАСТЬ,2020-12-31,4151400
АКМОЛИНСКАЯ ОБЛАСТЬ,2015-12-31,1513900
АКМОЛИНСКАЯ ОБЛАСТЬ,2003-12-31,189100
АКМОЛИНСКАЯ ОБЛАСТЬ,2004-12-31,222100
АКМОЛИНСКАЯ ОБЛАСТЬ,2005-12-31,263400
АКМОЛИНСКАЯ ОБЛАСТЬ,2011-12-31,1099000
АКМОЛИНСКАЯ ОБЛАСТЬ,2000-12-31,105300
АКМОЛИНСКАЯ ОБЛАСТЬ,2013-12-31,1301700
АКМОЛИНСКАЯ ОБЛАСТЬ,2006-12-31,340000
АКМОЛИНСКАЯ ОБЛАСТЬ,2001-12-31,140600
АКМОЛИНСКАЯ ОБЛАСТЬ,2002-12-31,155200
АКМОЛИНСКАЯ ОБЛАСТЬ,2014-12-31,1427900
АКМОЛИНСКАЯ ОБЛАСТЬ,2012-12-31,1092800
АКМОЛИНСКАЯ ОБЛАСТЬ,2009-12-31,709300
АКМОЛИНСКАЯ ОБЛАСТЬ,2008-12-31,641400
АКМОЛИНСКАЯ ОБЛАСТЬ,2007-12-31,543200
АКМОЛИНСКАЯ ОБЛАСТЬ,2010-12-31,798100
АКМОЛИНСКАЯ ОБЛАСТЬ,2016-12-31,1818200
АКМОЛИНСКАЯ ОБЛАСТЬ,2017-12-31,2107800
АКМОЛИНСКАЯ ОБЛАСТЬ,2018-12-31,2301000
АКМОЛИНСКАЯ ОБЛАСТЬ,2019-12-31,2621200
АКМОЛИНСКАЯ ОБЛАСТЬ,2021-12-31,3644900
АКМОЛИНСКАЯ ОБЛАСТЬ,2020-12-31,3102500
АКТЮБИНСКАЯ ОБЛАСТЬ,2011-12-31,1998200
АКТЮБИНСКАЯ ОБЛАСТЬ,2005-12-31,604900
АКТЮБИНСКАЯ ОБЛАСТЬ,2006-12-31,748100
АКТЮБИНСКАЯ ОБЛАСТЬ,2002-12-31,268700
АКТЮБИНСКАЯ ОБЛАСТЬ,2015-12-31,2135000
АКТЮБИНСКАЯ ОБЛАСТЬ,2013-12-31,2298100
АКТЮБИНСКАЯ ОБЛАСТЬ,2003-12-31,353200
АКТЮБИНСКАЯ ОБЛАСТЬ,2001-12-31,219700
АКТЮБИНСКАЯ ОБЛАСТЬ,2000-12-31,175200
АКТЮБИНСКАЯ ОБЛАСТЬ,2004-12-31,438100
АКТЮБИНСКАЯ ОБЛАСТЬ,2014-12-31,2361400
АКТЮБИНСКАЯ ОБЛАСТЬ,2012-12-31,2220700
АКТЮБИНСКАЯ ОБЛАСТЬ,2009-12-31,1193100
АКТЮБИНСКАЯ ОБЛАСТЬ,2008-12-31,1231100
АКТЮБИНСКАЯ ОБЛАСТЬ,2007-12-31,970500
АКТЮБИНСКАЯ ОБЛАСТЬ,2010-12-31,1523100
АКТЮБИНСКАЯ ОБЛАСТЬ,2016-12-31,2464900
АКТЮБИНСКАЯ ОБЛАСТЬ,2017-12-31,2749700
АКТЮБИНСКАЯ ОБЛАСТЬ,2018-12-31,3136000
АКТЮБИНСКАЯ ОБЛАСТЬ,2019-12-31,3396800
АКТЮБИНСКАЯ ОБЛАСТЬ,2021-12-31,3982100
АКТЮБИНСКАЯ ОБЛАСТЬ,2020-12-31,3329800
АЛМАТИНСКАЯ ОБЛАСТЬ,2005-12-31,202100
АЛМАТИНСКАЯ ОБЛАСТЬ,2013-12-31,886200
АЛМАТИНСКАЯ ОБЛАСТЬ,2003-12-31,147300
АЛМАТИНСКАЯ ОБЛАСТЬ,2001-12-31,102100
АЛМАТИНСКАЯ ОБЛАСТЬ,2000-12-31,80100
АЛМАТИНСКАЯ ОБЛАСТЬ,2004-12-31,163500
АЛМАТИНСКАЯ ОБЛАСТЬ,2015-12-31,1021300
АЛМАТИНСКАЯ ОБЛАСТЬ,2011-12-31,654000
АЛМАТИНСКАЯ ОБЛАСТЬ,2006-12-31,253500
АЛМАТИНСКАЯ ОБЛАСТЬ,2002-12-31,119200
АЛМАТИНСКАЯ ОБЛАСТЬ,2014-12-31,1002100
АЛМАТИНСКАЯ ОБЛАСТЬ,2012-12-31,751000
АЛМАТИНСКАЯ ОБЛАСТЬ,2009-12-31,460300
АЛМАТИНСКАЯ ОБЛАСТЬ,2008-12-31,409200
АЛМАТИНСКАЯ ОБЛАСТЬ,2007-12-31,337400
АЛМАТИНСКАЯ ОБЛАСТЬ,2010-12-31,537900
АЛМАТИНСКАЯ ОБЛАСТЬ,2016-12-31,1114200
АЛМАТИНСКАЯ ОБЛАСТЬ,2017-12-31,1235800
АЛМАТИНСКАЯ ОБЛАСТЬ,2018-12-31,1378000
АЛМАТИНСКАЯ ОБЛАСТЬ,2019-12-31,1585500
АЛМАТИНСКАЯ ОБЛАСТЬ,2021-12-31,2201100
АЛМАТИНСКАЯ ОБЛАСТЬ,2020-12-31,1805200
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2006-12-31,690100
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2013-12-31,1919100
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2005-12-31,509900
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2000-12-31,217700
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2015-12-31,2248900
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2003-12-31,333600
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2011-12-31,1762100
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2002-12-31,276700
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2004-12-31,382300
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2001-12-31,249300
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2014-12-31,2110600
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2012-12-31,1798500
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2009-12-31,1123500
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2008-12-31,1088400
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2007-12-31,853500
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2010-12-31,1387700
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2016-12-31,2682600
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2017-12-31,3100900
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2018-12-31,3431900
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2019-12-31,3911000
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2021-12-31,5419300
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2020-12-31,4431700
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,1480100
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,270600
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,430800
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,188200
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,199000
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,228900
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,1656200
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,325400
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,1160900
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,158400
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,1636700
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,1299100
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,693600
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,627900
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,563400
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,889800
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,2006000
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,2289500
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,2598800
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,2929200
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2021-12-31,3723000
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,3369800
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2015-12-31,918300
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2013-12-31,813900
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2004-12-31,138800
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2011-12-31,602800
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2000-12-31,58700
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2003-12-31,121600
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2001-12-31,71200
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2005-12-31,169100
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2002-12-31,84700
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2006-12-31,191200
