region,date,value
РЕСПУБЛИКА КАЗАХСТАН,2018-12-31,3382500
РЕСПУБЛИКА КАЗАХСТАН,2019-12-31,3755700
РЕСПУБЛИКА КАЗАХСТАН,2021-12-31,4417900
РЕСПУБЛИКА КАЗАХСТАН,2020-12-31,3766800
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2018-12-31,838600
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2019-12-31,1008100
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2021-12-31,1363100
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2020-12-31,1174200
Г.ШЫМКЕНТ,2018-12-31,2214300
Г.ШЫМКЕНТ,2019-12-31,2152100
Г.ШЫМКЕНТ,2021-12-31,2442900
Г.ШЫМКЕНТ,2020-12-31,2360300
